1.) -----------------
 Input Size	FLOPS
  1000x1000	  x  
  2000x2000	  x  
  3000x3000	  x  
  4000x4000	  x  
  5000x5000	  x
  6000x6000	  x
  7000x7000	  x
  8000x8000	  x
  9000x9000	  x
10000x10000 	  x

2.) --------------------------------------------------------------------
 Input Size	Allocation	MemToDevice	MemFromDevice	Overhead
  1000x1000	  0.833815         0.001088	     0.001119	0.836022
  2000x2000	  0.811746	   0.004173	     0.003849	0.819768
  3000x3000	  0.822077	   0.008652          0.007828	0.838557	
  4000x4000	  0.812368	   0.014149	     0.014041	0.840558
  5000x5000	  0.792374	   0.021266	     0.021576	0.835216
  6000x6000	  0.771698	   0.029842          0.030840	0.832380
  7000x7000	  0.759060         0.040482          0.042016	0.841558
  8000x8000       0.759054	   0.052429          0.054587	0.866070
  9000x9000	  0.769144         0.067269          0.072870	0.909283
10000x10000	  0.763236         0.080673          0.085090	0.928999
